"         ""UTC_ABS_TIME""",ABS_TIME,ABS_SEC,GC3TMPR,H2RESP,H2COLP,H2TMPR,START,END,"       ""X1""","       ""M2""","       ""M3""","       ""M4""","       ""M5""","       ""M6""","       ""M7""","       ""M8""","       ""M9""","      ""M10""","      ""M11""","      ""M12""","      ""M13""","      ""M14""","      ""M15""","      ""M16""","      ""M17""","      ""M18""","      ""M19""","      ""X20""","      ""M20""","      ""M21""","      ""M22""","      ""M23""","      ""M24""","      ""M25""","      ""M26""","      ""M27""","      ""M28""","      ""M29""","      ""M30""","      ""M31""","      ""M32""","      ""M33""","      ""M34""","      ""M35""","      ""M36""","      ""M37""","      ""M38""","      ""M39""","      ""M40""","      ""M41""","      ""M42""","      ""M43""","      ""M44""","      ""M45""","      ""M46""","      ""M47""","      ""M48""","      ""M49""","      ""M50""","      ""M51""","      ""M52""","      ""M53""","      ""M54""","      ""M55""","      ""M56""","      ""M57""","      ""M58""","      ""M59""","      ""M60""","      ""M61""","      ""M62""","      ""M63""","      ""M64""","      ""M65""","      ""M66""","      ""M67""","      ""M68""","      ""M69""","      ""M70""","      ""M71""","      ""M72""","      ""M73""","      ""M74""","      ""M75""","      ""M76""","      ""M77""","      ""M78""","      ""M79""","      ""M80""","      ""M81""","      ""M82""","      ""M83""","      ""M84""","      ""M85""","      ""M86""","      ""M87""","      ""M88""","      ""M89""","      ""M90""","      ""M91""","      ""M92""","      ""M93""","      ""M94""","      ""M95""","      ""M96""","      ""M97""","      ""M98""","      ""M99""","     ""M100""","     ""M101""","     ""M102""","     ""M103""","     ""M104""","     ""M105""","     ""M106""","     ""M107""","     ""M108""","     ""M109""","     ""M110""","     ""M111""","     ""M112""","     ""M113""","     ""M114""","     ""M115""","     ""M116""","     ""M117""","     ""M118""","     ""M119""","     ""M120""","     ""M121""","     ""M122""","     ""M123""","     ""M124""","     ""M125""","     ""M126""","     ""M127""","     ""M128""","     ""M129""","     ""M130""","     ""M131""","     ""M132""","     ""M133""","     ""M134""","     ""M135""","     ""M136""","     ""M137""","     ""M138""","     ""M139""","     ""M140""","     ""M141""","      ""T1A""","      ""T1B""","      ""T1C""","      ""T2A""","      ""T2B""","      ""T2C""","      ""T3A""","      ""T3B""","      ""T3C""","      ""T4A""","      ""T4B""","      ""T4C""","      ""T5A""","      ""T5B""","      ""T5C""",SEQ_CNTR,"  ""GCMS_GMT""",GCMS_DATE,"   ""GCMS_TIME""",AB,SUBSWP,SCN_CNT,"   ""MET_TIME"""
2005-01-14T09:49:51.359,8540322,2370.531,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,217.7,435.5,435.5,0,0,0,125861.8,136608.2,136608.2,284397.1,284397.1,300546.3,0,0,0,60536,1158595.401, 2005-01-14, T09:49:55.401,   B,128,113,88770.53125
2005-01-14T09:49:58.796,8540798,2377.969,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,871,871,0,217.7,0,0,125861.8,136608.2,136608.2,284397.1,284397.1,300546.3,0,0,0,60543,1158602.776, 2005-01-14, T09:50:02.776,   B,128,121,88777.96875
2005-01-14T09:50:06.421,8541286,2385.594,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.3,0,435.5,217.7,217.7,0,136608.2,136608.2,147800,284397.1,284397.1,300546.3,0,0,0,60550,1158610.276, 2005-01-14, T09:50:10.276,   B,128,129,88785.59375
2005-01-14T09:50:13.859,8541762,2393.031,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,217.7,435.5,0,0,217.7,136608.2,136608.2,136608.2,284397.1,284397.1,300546.3,0,0,0,60557,1158617.651, 2005-01-14, T09:50:17.650,   B,128,137,88793.03125
2005-01-14T09:50:21.484,8542250,2400.656,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,435.5,653.3,217.7,0,0,136608.2,136608.2,136608.2,268703.6,284397.1,284397.1,0,0,0,60565,1158626.276, 2005-01-14, T09:50:26.275,   B,128,145,88800.65625
2005-01-14T09:50:28.921,8542726,2408.094,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,217.7,653.3,0,435.5,125861.8,136608.2,136608.2,300546.3,284397.1,284397.1,0,0,0,60571,1158632.651, 2005-01-14, T09:50:32.651,   B,128,153,88808.09375
2005-01-14T09:50:36.531,8543213,2415.703,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,653.3,0,0,0,217.7,136608.2,147800,136608.2,284397.1,284397.1,300546.3,0,0,0,60578,1158640.151, 2005-01-14, T09:50:40.151,   B,128,161,88815.70313
2005-01-14T09:50:43.968,8543689,2423.141,40.86,3.2347,2.2172,25.93,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,653.3,217.7,0,0,217.7,147800,136608.2,147800,300546.3,300546.3,284397.1,0,0,0,60585,1158647.526, 2005-01-14, T09:50:47.526,   B,128,169,88823.14063
2005-01-14T09:50:51.624,8544179,2430.797,40.86,3.1274,2.2172,25.54,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,217.7,217.7,0,653.3,147800,136608.2,136608.2,300546.3,300546.3,300546.3,0,0,0,60594,1158657.151, 2005-01-14, T09:50:57.151,   B,128,177,88830.79688
2005-01-14T09:50:59.046,8544654,2438.219,40.86,3.1274,2.2172,25.54,2,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.5,217.7,435.5,0,217.7,136608.2,147800,147800,300546.3,300546.3,284397.1,0,0,0,60601,1158664.651, 2005-01-14, T09:51:04.651,   B,128,185,88838.21875
